MaxDiff, Percentage
0.382, 79.36%
0.383, 79.36%
0.384, 79.23%
0.385, 79.06%
0.386, 79.23%
0.387, 79.15%
0.388, 79.15%
0.389, 79.15%
0.39, 79.15%
0.391, 79.26%
0.392, 78.95%
0.393, 78.95%
0.394, 78.79%
0.395, 78.54%
0.396, 78.07%
0.397, 77.6%
0.398, 77.6%
0.399, 77.6%
0.4, 77.44%
0.401, 77.44%
0.402, 77.44%
0.403, 77.28%
0.404, 77.28%
0.405, 77.19%
0.406, 76.89%
0.40700000000000003, 76.74%
0.40800000000000003, 76.58%
0.40900000000000003, 76.58%
0.41000000000000003, 75.55%
0.41100000000000003, 75.55%
0.41200000000000003, 75.47%
0.41300000000000003, 75.47%
0.41400000000000003, 75.33%
0.41500000000000004, 75.33%
0.41600000000000004, 74.99%
0.41700000000000004, 74.99%
0.41800000000000004, 74.83%
0.41900000000000004, 74.93%
0.42000000000000004, 74.68%
0.42100000000000004, 74.68%
0.42200000000000004, 74.68%
0.42300000000000004, 74.68%
0.42400000000000004, 74.36%
0.42500000000000004, 74.36%
0.42600000000000005, 73.61%
0.42700000000000005, 73.61%
0.42800000000000005, 73.44%
0.42900000000000005, 73.32%
0.43000000000000005, 73.32%
0.43100000000000005, 72.98%
0.43200000000000005, 72.98%
0.43300000000000005, 72.8%
0.43400000000000005, 72.8%
0.43500000000000005, 72.8%
0.43600000000000005, 72.8%
0.43700000000000006, 72.46%
0.43800000000000006, 72.46%
0.43900000000000006, 72.46%
0.44000000000000006, 72.36%
0.44100000000000006, 72.36%
0.44200000000000006, 72.36%
0.44300000000000006, 72.28%
0.44399999999999995, 72.28%
0.44499999999999995, 72.28%
0.44599999999999995, 72.28%
0.44699999999999995, 72.28%
0.44799999999999995, 72.28%
0.44899999999999995, 72.28%
0.44999999999999996, 72.28%
0.45099999999999996, 72.28%
0.45199999999999996, 72.28%
0.45299999999999996, 71.96%
0.45399999999999996, 71.87%
0.45499999999999996, 71.87%
0.45599999999999996, 71.75%
0.45699999999999996, 71.75%
0.45799999999999996, 71.75%
0.45899999999999996, 71.75%
0.45999999999999996, 71.75%
0.46099999999999997, 71.75%
0.46199999999999997, 71.59%
0.46299999999999997, 70.96%
0.46399999999999997, 70.96%
